2021-12-20 17:26:23 INFO  Base:35 - Remote WebDriver capability instantiation
2021-12-20 17:26:24 INFO  Base:58 - Error performing Appium test: Could not start a new session. Possible causes are invalid address of the remote server or browser start-up failure.
Build info: version: '3.5.2', revision: '10229a9', time: '2017-08-21T17:29:55.15Z'
System info: host: 'BCFS33487', ip: '172.16.193.77', os.name: 'Windows 10', os.arch: 'amd64', os.version: '10.0', java.version: '1.8.0_291'
Driver info: driver.version: RemoteWebDriver
2021-12-20 17:26:24 INFO  Base:128 - 
2021-12-20 17:26:24 INFO  Base:129 - Failed to capture screenshot
2021-12-20 17:26:25 INFO  Base:104 - Launched chrome browser
2021-12-20 17:26:25 INFO  Base:109 - Exception launching browser
2021-12-20 17:26:25 INFO  Base:154 - Waiting for 1 seconds to launch the URL
2021-12-20 17:26:26 INFO  Base:156 - Enter the URL 'https://www.bcferries.com/'
2021-12-20 17:26:26 INFO  Base:162 - Catch exception instantiating a browser null
2021-12-20 17:26:26 INFO  Base:123 - Exception launching URL
2021-12-20 17:26:36 INFO  Base:792 - 
2021-12-20 17:26:36 INFO  Base:793 - Exception: Return Trip Selected
2021-12-20 17:26:39 INFO  Base:101 - 
2021-12-20 17:26:39 INFO  Base:102 - Exception: Entering From Location
2021-12-20 17:26:39 INFO  Base:49 - 
2021-12-20 17:26:39 INFO  Base:50 - Exception: Entering From Location
2021-12-20 17:26:41 INFO  Base:810 - 
2021-12-20 17:26:41 INFO  Base:811 - Exception: Select Date of Travel
2021-12-20 17:26:43 INFO  Base:103 - 
2021-12-20 17:26:43 INFO  Base:104 - Exception: Select Return Date of Travel
2021-12-20 17:26:43 INFO  Base:138 - 
2021-12-20 17:26:43 INFO  Base:139 - Exception: Entering to Location
2021-12-20 17:26:43 INFO  Base:67 - 
2021-12-20 17:26:43 INFO  Base:68 - Exception: Entering To Location
2021-12-20 17:26:44 INFO  Base:121 - 
2021-12-20 17:26:44 INFO  Base:122 - Exception: Click on Continue button for Home Page
2021-12-20 17:26:46 INFO  Base:137 - 
2021-12-20 17:26:46 INFO  Base:138 - Exception: Increment number of Adults travelling on Passengers Page
2021-12-20 17:26:48 INFO  Base:447 - 
2021-12-20 17:26:48 INFO  Base:448 - Exception: Increment number of Children travelling on Passengers Page
2021-12-20 17:26:50 INFO  Base:492 - 
2021-12-20 17:26:50 INFO  Base:493 - Exception: Increment number of Infants travelling on Passengers Page
2021-12-20 17:26:52 INFO  Base:509 - 
2021-12-20 17:26:52 INFO  Base:510 - Exception: Click on Continue button for Passengers Page
2021-12-20 17:26:54 INFO  Base:542 - 
2021-12-20 17:26:54 INFO  Base:543 - Exception: Select Vehicle height on Vehicle Selection Page
2021-12-20 17:26:56 INFO  Base:572 - 
2021-12-20 17:26:56 INFO  Base:573 - Exception: Select Vehicle Length on Vehicle Selection Page
2021-12-20 17:26:58 INFO  Base:605 - 
2021-12-20 17:26:58 INFO  Base:606 - Exception: Click on Continue button for Vehicles Page
2021-12-20 17:27:04 INFO  Base:621 - 
2021-12-20 17:27:04 INFO  Base:622 - Exception: Select View Fares on Fare Selection Page
2021-12-20 17:27:07 INFO  Base:636 - 
2021-12-20 17:27:07 INFO  Base:637 - Exception: Select Prepaid option on Fare Selection Page
2021-12-20 17:27:13 INFO  Base:828 - 
2021-12-20 17:27:13 INFO  Base:829 - Exception: Select View Return Fares on Fare Selection Page
2021-12-20 17:27:16 INFO  Base:843 - 
2021-12-20 17:27:16 INFO  Base:844 - Exception: Select Return Prepaid option on Fare Selection Page
2021-12-20 17:27:17 INFO  Base:653 - 
2021-12-20 17:27:17 INFO  Base:654 - Exception: Verify if the User is on Fare Selection Review page
2021-12-20 17:27:19 INFO  Base:671 - 
2021-12-20 17:27:19 INFO  Base:672 - Exception:Check out as Guest button on Fare Selection review Page is not clicked
2021-12-20 17:27:25 INFO  Base:711 - 
2021-12-20 17:27:25 INFO  Base:712 - Exception: Enter Guest Checkout information
2021-12-20 17:27:29 INFO  Base:732 - 
2021-12-20 17:27:29 INFO  Base:733 - Exception: Enter Payment method information
2021-12-20 17:27:32 INFO  Base:755 - 
2021-12-20 17:27:32 INFO  Base:756 - Exception: Enter Billing Address information
2021-12-20 17:27:35 INFO  Base:774 - 
2021-12-20 17:27:35 INFO  Base:775 - Exception:Click on PayNow button on payment selection
2021-12-20 17:27:39 INFO  Base:860 - 
2021-12-20 17:27:39 INFO  Base:861 - Exception:Click on PayNow button on payment selection
